Title, URL, Index
Captain Sully on Trump's Travel Ban: 'This Makes Us less Safe' | Fox ...,http://www.foxbusiness.com/features/2017/01/30/captain-sully-on-trump-s-travel-ban-this-makes-us-less-safe.html,1
NBA Figures Speak Out on Trump Travel Ban | Fox Business,http://www.foxbusiness.com/features/2017/01/30/nba-figures-speak-out-on-trump-travel-ban.html,2
Why 97 companies are opposing Trump's travel ban | Fox Business,http://www.foxbusiness.com/features/2017/02/06/why-7-companies-are-opposing-trump-travel-ban.html,3
Tourism industry debating impact of Trump travel ban | Fox Business,http://www.foxbusiness.com/markets/2017/02/08/tourism-industry-debating-impact-trump-travel-ban.html,4
"Trump Weighs Revised Travel Ban, Supreme Court Test Still Possible ...",http://www.foxbusiness.com/politics/2017/02/10/trump-weighs-revised-travel-ban-supreme-court-test-still-possible.html,5
Fox News Poll: Trump's Travel Ban Creates Sharp Political Divide ...,http://www.foxbusiness.com/politics/2017/02/14/fox-news-poll-trump-s-travel-ban-creates-sharp-political-divide.html,6
Trump's Revised Travel Ban Blocked by Hawaii Judge | Fox Business,http://www.foxbusiness.com/politics/2017/03/15/federal-judge-in-hawaii-puts-trump-travel-ban-on-hold.html,7
Trump weighs North Korea travel ban after Warmbier's death | Fox ...,http://www.foxbusiness.com/politics/2017/06/20/trump-weighs-north-korea-travel-ban-after-warmbier-s-death.html,8
"In victory for Trump, U.S. Supreme Court revives Trump travel ban ...",http://www.foxbusiness.com/politics/2017/06/26/u-s-supreme-court-revives-parts-trump-travel-ban-order.html,9
US top court gives Hawaii until Tuesday to answer Trump travel ban ...,http://www.foxbusiness.com/politics/2017/07/15/us-top-court-gives-hawaii-until-tuesday-to-answer-trump-travel-ban-motion.html,10
Late-night TV hosts take aim at Trump travel ban,http://www.foxnews.com/entertainment/2017/01/31/late-night-tv-hosts-take-aim-at-trump-travel-ban.html,11
"Iranian director Asghar Farhadi wins Oscar, says in statement U.S. 'disrespected' his country, others",http://www.foxnews.com/entertainment/2017/02/26/iranian-director-asghar-farhadi-wins-oscar-says-in-statement-u-s-disrespected-his-country-others.html,12
Trump supporters vow to boycott Starbucks over CEO's plan to hire refugees,http://www.foxnews.com/food-drink/2017/01/31/trump-supporters-vow-to-boycott-starbucks-over-ceos-plan-to-hire-refugees.html,13
"Trump's immigrant ban part of a long, sad tradition | Fox News",http://www.foxnews.com/opinion/2017/01/28/trumps-muslim-ban-part-long-sad-tradition.html,14
Trump's travel ban and the Democrats' big con | Fox News,http://www.foxnews.com/opinion/2017/01/30/trumps-travel-ban-and-democrats-big-con.html,15
Trump's travel ban and the Democrats' big con,http://www.foxnews.com/opinion/2017/01/30/trumps-travel-ban-and-democrats-big-con.html,16
I'm a Democrat but there's something great about Trump's travel ban ...,http://www.foxnews.com/opinion/2017/01/31/im-democrat-but-theres-something-great-about-trumps-travel-ban.html,17
I'm a Democrat but there's something great about Trump's travel ban,http://www.foxnews.com/opinion/2017/01/31/im-democrat-but-theres-something-great-about-trumps-travel-ban.html,18
Sean Hannity: Dems gamble with American lives with lies about Trump order,http://www.foxnews.com/opinion/2017/01/31/sean-hannity-dems-gamble-with-american-lives-with-lies-about-trump-order.html,19
Michael Goodwin: Democrats are becoming the party of secession,http://www.foxnews.com/opinion/2017/02/02/michael-goodwin-democrats-are-becoming-party-secession.html,20
"We need extreme vetting in the judicial system, too",http://www.foxnews.com/opinion/2017/02/07/need-extreme-vetting-in-judicial-system-too.html,21
"Sean Hannity: Alt-left judges, lawmakers play games with ... - Fox News",http://www.foxnews.com/opinion/2017/02/07/sean-hannity-alt-left-judges-lawmakers-play-games-with-president-trumps-travel-ban.html,22
"Sean Hannity: Alt-left judges, lawmakers play games with President Trump's travel ban",http://www.foxnews.com/opinion/2017/02/07/sean-hannity-alt-left-judges-lawmakers-play-games-with-president-trumps-travel-ban.html,23
Trump's travel ban: Why the 9th Circuit could flip and ... - Fox News,http://www.foxnews.com/opinion/2017/02/08/trump-s-travel-ban-why-9th-circuit-could-flip-and-unexpectedly-grant-stay.html,24
Trump’s travel ban: Why the 9th Circuit could flip and unexpectedly grant a stay,http://www.foxnews.com/opinion/2017/02/08/trump-s-travel-ban-why-9th-circuit-could-flip-and-unexpectedly-grant-stay.html,25
Gregg Jarrett: 4 things you need to know about the rulings ... - Fox News,http://www.foxnews.com/opinion/2017/03/16/gregg-jarrett-4-things-need-to-know-about-rulings-against-trumps-latest-travel-ban.html,26
Gregg Jarrett: 4 things you need to know about the rulings against Trump's latest travel ban,http://www.foxnews.com/opinion/2017/03/16/gregg-jarrett-4-things-need-to-know-about-rulings-against-trumps-latest-travel-ban.html,27
Sean Hannity: Alt-left judges put American lives at risk by blocking travel ban,http://www.foxnews.com/opinion/2017/03/17/sean-hannity-alt-left-judges-put-american-lives-at-risk-by-blocking-travel-ban.html,28
Israel and Trump travel ban offers pundit a chance to show own bigotry,http://www.foxnews.com/opinion/2017/03/21/israel-and-trump-travel-ban-offers-pundit-chance-to-show-own-bigotry.html,29
"Trump travel ban decision: Politics, not the law, in the 4th ... - Fox News",http://www.foxnews.com/opinion/2017/05/28/trump-travel-ban-decision-politics-not-law-in-4th-circuit.html,30
"Trump travel ban decision: Politics, not the law, in the 4th Circuit",http://www.foxnews.com/opinion/2017/05/28/trump-travel-ban-decision-politics-not-law-in-4th-circuit.html,31
Gregg Jarrett: Justice Ginsburg must disqualify herself in the Trump travel ban case,http://www.foxnews.com/opinion/2017/06/05/gregg-jarrett-justice-ginsburg-must-disqualify-herself-in-trump-travel-ban-case.html,32
Trump's terror tweets are not making us any safer,http://www.foxnews.com/opinion/2017/06/06/trumps-terror-tweets-are-not-making-us-any-safer.html,33
Ninth Circuit travel ban decision: Here we go again - the president deserves better than this latest ruling,http://www.foxnews.com/opinion/2017/06/12/ninth-circuit-travel-ban-decision-here-go-again-president-deserves-better-than-this-latest-ruling.html,34
Dershowitz: Supreme Court will likely uphold most of Trump travel ban ...,http://www.foxnews.com/opinion/2017/06/26/dershowitz-supreme-court-will-likely-uphold-most-trump-travel-ban.html,35
Dershowitz: Supreme Court will likely uphold most of Trump travel ban,http://www.foxnews.com/opinion/2017/06/26/dershowitz-supreme-court-will-likely-uphold-most-trump-travel-ban.html,36
CNN turns Elmo into propaganda puppet,http://www.foxnews.com/opinion/2017/06/28/cnn-turns-elmo-into-propaganda-puppet.html,37
"Trump's travel ban: Don't be fooled, the Supreme Court ... - Fox News",http://www.foxnews.com/opinion/2017/06/28/trumps-travel-ban-dont-be-fooled-supreme-court-handed-president-big-victory-this-week.html,38
"Trump's travel ban: Don't be fooled, the Supreme Court handed the president a big victory this week",http://www.foxnews.com/opinion/2017/06/28/trumps-travel-ban-dont-be-fooled-supreme-court-handed-president-big-victory-this-week.html,39
